Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LISTON06-R1	LISTON06-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23016.0	0.0	251.0	26.0	22.471324296141816	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
P01-01-A-R1	P01-01-A-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14200.0	0.0	251.0	53.0	69.95774647887323	251.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	warn
P01-01-B-R1	P01-01-B-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11836.0	0.0	251.0	52.0	77.85569449138222	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
P01-01-C-R1	P01-01-C-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13809.0	0.0	251.0	53.0	57.44804113259468	251.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
P01-01-D-R1	P01-01-D-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16312.0	0.0	251.0	53.0	48.945561549779306	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
P01-01-E-R1	P01-01-E-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17463.0	0.0	251.0	54.0	51.50890454102961	251.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	warn
P01-01-F-R1	P01-01-F-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26416.0	0.0	251.0	53.0	50.378558449424595	251.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
P01-01-G-R1	P01-01-G-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9356.0	0.0	251.0	44.0	76.97734074390765	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-01-H-R1	P01-01-H-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12967.0	0.0	251.0	42.0	76.40163491941081	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-02-A-R1	P01-02-A-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1994.0	0.0	251.0	39.0	74.27281845536609	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	fail	fail
P01-02-B-R1	P01-02-B-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2293.0	0.0	251.0	38.0	73.57174007849979	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-02-C-R1	P01-02-C-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1986.0	0.0	251.0	39.0	98.5901309164149	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-02-D-R1	P01-02-D-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	287.0	0.0	251.0	39.0	100.0	251.0	pass	fail	pass	warn	fail	warn	pass	pass	pass	warn	fail
undetermined-R1	undetermined-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62491.0	0.0	251.0	44.0	42.154870301323385	251.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn
